crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Cotton,Alluvial,6.7 - 8.5,Sep,8.4,Vermicompost,Basal,6,108,Wilt,Use crop rotation,6.9
Groundnut,Clay,5.5 - 8.4,Oct,27.5,Vermicompost,Top Dressing,3,135,Powdery Mildew,Spray insecticide,17.83
Sorghum,Alluvial,6.5 - 8.0,Oct,29.5,NPK,Basal,7,148,Rust,Use fungicide,30.4
Sorghum,Sandy loam,6.4 - 8.1,May,24.0,Urea,Both,4,127,Anthracnose,Use crop rotation,25.57
Bottle Gourd,Clay,6.3 - 7.7,Jul,15.8,NPK,Basal,6,121,Powdery Mildew,Use crop rotation,9.64
Radish,Loamy,6.2 - 8.4,May,11.5,Vermicompost,Top Dressing,3,123,No major disease,Use fungicide,30.12
Carrot,Black soil,6.5 - 8.3,Jul,26.8,NPK,Basal,7,163,Anthracnose,Use fungicide,6.42
Cauliflower,Alluvial,6.9 - 8.4,Sep,17.5,Urea,Basal,3,133,No major disease,Apply neem extract,31.86
Brinjal,Alluvial,6.8 - 8.3,May,28.4,Compost,Top Dressing,3,180,Rust,Remove infected parts,16.98
Radish,Clay,5.7 - 8.2,Apr,21.1,Compost,Top Dressing,7,65,Rust,No treatment needed,27.58
Ginger,Black soil,5.8 - 8.0,Jun,11.3,Compost,Top Dressing,6,172,No major disease,Spray insecticide,6.09
Banana,Clay,6.2 - 8.1,Mar,9.2,DAP,Top Dressing,3,151,No major disease,No treatment needed,16.91
Cotton,Alluvial,5.8 - 8.3,Nov,13.7,Compost,Top Dressing,3,166,Anthracnose,Spray insecticide,7.16
Sugarcane,Alluvial,6.4 - 7.9,Feb,25.8,Compost,Basal,7,132,Blight,Apply neem extract,27.06
Barley,Clay,6.6 - 7.7,Apr,26.6,Vermicompost,Top Dressing,3,122,Rust,Apply neem extract,15.96
Chili,Alluvial,6.7 - 8.2,Jun,17.7,Urea,Both,7,115,Wilt,Use fungicide,10.64
Garlic,Black soil,7.2 - 8.0,May,27.6,Vermicompost,Both,2,61,No major disease,Remove infected parts,6.24
Cotton,Black soil,7.0 - 8.5,Jul,29.5,Urea,Both,3,98,No major disease,Use crop rotation,13.81
Orange,Clay,7.1 - 7.6,Oct,14.1,Compost,Both,5,115,Wilt,Spray insecticide,21.84
Pearl Millet,Loamy,5.5 - 8.3,Jul,3.9,DAP,Basal,6,162,Wilt,Use fungicide,5.21
Soybean,Alluvial,5.7 - 7.8,Jul,28.2,Urea,Basal,7,129,Stem Borer,Apply neem extract,10.24
Sunflower,Loamy,6.6 - 8.4,Jan,23.8,Urea,Top Dressing,5,70,Blight,Spray insecticide,32.91
Soybean,Alluvial,5.9 - 7.7,Dec,28.2,DAP,Both,3,168,Stem Borer,Use crop rotation,32.28
Pineapple,Loamy,6.8 - 7.8,Nov,7.5,Compost,Top Dressing,4,149,Anthracnose,Apply neem extract,21.46
Barley,Clay,6.9 - 8.4,Dec,12.9,DAP,Both,2,118,Blight,Apply neem extract,26.79
Spinach,Alluvial,6.2 - 7.7,Sep,28.3,Vermicompost,Both,6,93,Root Rot,Remove infected parts,21.37
Pineapple,Loamy,6.2 - 8.0,Sep,5.5,Urea,Both,6,133,Wilt,No treatment needed,21.25
Wheat,Loamy,6.9 - 8.0,Apr,19.9,Compost,Top Dressing,6,108,Wilt,Use crop rotation,20.46
Groundnut,Loamy,7.2 - 8.4,Mar,25.6,Compost,Both,7,97,Wilt,Spray insecticide,27.3
Barley,Sandy loam,6.4 - 7.6,Oct,11.0,Compost,Both,4,124,Anthracnose,Use crop rotation,34.79
Cabbage,Sandy loam,6.3 - 8.5,Feb,7.8,Compost,Top Dressing,5,63,Wilt,Spray insecticide,29.17
Pineapple,Clay,6.7 - 8.2,Apr,27.0,Compost,Basal,5,170,Blight,Use crop rotation,21.71
Radish,Clay,6.5 - 7.8,Feb,14.9,Compost,Basal,3,121,Downy Mildew,Spray insecticide,31.8
Grapes,Clay,6.3 - 8.1,Apr,13.5,Compost,Both,5,153,Rust,Apply neem extract,21.49
Groundnut,Sandy loam,5.7 - 7.7,Jan,29.2,Urea,Top Dressing,3,84,Rust,Spray insecticide,13.47
Pearl Millet,Black soil,6.1 - 8.4,Mar,22.6,Compost,Both,5,131,Anthracnose,No treatment needed,11.57
Bottle Gourd,Clay,7.0 - 7.7,May,12.1,NPK,Basal,7,121,Powdery Mildew,Spray insecticide,28.24
Mango,Clay,6.6 - 8.1,Apr,14.4,Vermicompost,Both,8,90,Downy Mildew,Spray insecticide,6.51
Sweet Corn,Black soil,7.5 - 8.1,Jun,24.1,NPK,Both,2,64,Anthracnose,Use fungicide,31.51
Grapes,Alluvial,5.5 - 7.9,Feb,3.1,Compost,Basal,7,165,Powdery Mildew,Use crop rotation,22.56
Mango,Sandy loam,7.3 - 8.3,Jul,10.0,DAP,Both,2,98,Stem Borer,Remove infected parts,22.44
Lemon,Sandy loam,6.2 - 8.1,Feb,11.0,Vermicompost,Both,4,178,Anthracnose,No treatment needed,34.9
Beetroot,Black soil,5.6 - 8.3,Sep,3.2,Vermicompost,Basal,5,152,Leaf Spot,Spray insecticide,31.74
Wheat,Black soil,6.4 - 7.7,May,13.2,Urea,Basal,7,176,Wilt,Use fungicide,20.86
Cotton,Sandy loam,7.5 - 8.3,May,8.2,DAP,Both,7,175,Leaf Spot,No treatment needed,29.73
Grapes,Clay,6.9 - 8.4,May,11.3,DAP,Top Dressing,7,157,Stem Borer,Apply neem extract,5.81
Bottle Gourd,Clay,7.1 - 7.7,Dec,27.2,Urea,Top Dressing,5,63,Powdery Mildew,Apply neem extract,25.14
Coffee,Loamy,6.4 - 8.3,Dec,8.1,DAP,Basal,6,127,Anthracnose,Apply neem extract,7.38
Sunflower,Alluvial,6.4 - 8.3,May,20.0,Vermicompost,Both,3,120,Root Rot,Apply neem extract,9.95
Wheat,Loamy,7.0 - 8.1,Jun,18.8,NPK,Basal,6,146,Wilt,Remove infected parts,5.48
Mustard,Black soil,6.0 - 8.1,May,9.1,Vermicompost,Basal,3,150,Blight,Use crop rotation,17.7
Chili,Clay,7.0 - 7.7,Oct,9.3,DAP,Top Dressing,8,143,Root Rot,Apply neem extract,34.28
Tea,Black soil,7.3 - 7.9,Feb,5.7,Urea,Top Dressing,5,153,Blight,Remove infected parts,22.88
Beetroot,Alluvial,6.8 - 7.7,Apr,10.5,Compost,Both,5,155,Blight,Remove infected parts,12.32
Lemon,Black soil,6.5 - 8.2,May,23.1,Urea,Basal,4,144,Leaf Spot,Spray insecticide,26.05
Wheat,Sandy loam,7.4 - 8.3,Nov,26.1,DAP,Top Dressing,2,130,Blight,Use fungicide,17.64
Garlic,Alluvial,5.6 - 8.4,Dec,22.5,Vermicompost,Top Dressing,4,101,Downy Mildew,Use crop rotation,6.73
Cauliflower,Alluvial,5.5 - 7.9,Aug,19.7,DAP,Basal,3,158,Anthracnose,Apply neem extract,9.98
Radish,Clay,7.4 - 8.1,Jan,27.1,Compost,Top Dressing,2,95,Rust,Use fungicide,32.85
Ginger,Alluvial,5.9 - 8.4,Jan,7.0,Compost,Basal,7,93,Anthracnose,Use fungicide,33.07
Orange,Sandy loam,7.0 - 7.8,Aug,7.3,DAP,Both,5,96,Leaf Spot,Apply neem extract,7.04
Mango,Sandy loam,5.7 - 8.2,Feb,12.0,Vermicompost,Top Dressing,3,128,Leaf Spot,No treatment needed,15.91
Papaya,Clay,6.8 - 7.8,Jul,10.7,Urea,Both,7,140,Downy Mildew,Use fungicide,19.99
Rice,Loamy,7.1 - 7.6,Jun,21.3,Vermicompost,Basal,7,164,Root Rot,Use crop rotation,5.6
Grapes,Black soil,7.3 - 8.1,Oct,13.6,Compost,Basal,5,162,Leaf Spot,Apply neem extract,32.88
Bottle Gourd,Loamy,5.7 - 8.2,Apr,12.7,Urea,Both,7,161,Root Rot,Remove infected parts,27.03
Lemon,Sandy loam,7.1 - 8.3,Apr,3.6,DAP,Basal,4,92,Root Rot,No treatment needed,23.42
Pearl Millet,Loamy,6.2 - 8.0,Apr,15.7,Vermicompost,Basal,4,90,Anthracnose,Apply neem extract,6.99
Chili,Clay,6.8 - 8.0,Feb,13.1,DAP,Both,2,116,Root Rot,Use crop rotation,24.19
Pineapple,Sandy loam,6.7 - 8.0,Aug,4.9,Vermicompost,Top Dressing,2,131,Wilt,No treatment needed,7.21
Carrot,Clay,5.7 - 8.1,Mar,13.8,Vermicompost,Basal,8,133,Root Rot,Use fungicide,10.59
Grapes,Loamy,7.0 - 8.1,Jul,26.1,Vermicompost,Both,4,137,Blight,Remove infected parts,20.4
Onion,Alluvial,5.8 - 7.8,Jan,11.1,Urea,Both,4,157,Wilt,Remove infected parts,14.01
Wheat,Sandy loam,6.5 - 7.8,Nov,18.9,Urea,Both,5,103,Root Rot,Use crop rotation,16.55
Sunflower,Alluvial,5.6 - 7.8,Apr,29.4,NPK,Both,8,80,Rust,Spray insecticide,22.7
Okra,Alluvial,7.1 - 7.9,Jul,28.6,DAP,Basal,5,74,Wilt,Apply neem extract,32.84
Finger Millet,Sandy loam,7.2 - 8.4,Dec,5.3,NPK,Basal,7,88,Anthracnose,Use crop rotation,33.65
Potato,Sandy loam,7.2 - 8.5,Sep,3.0,Compost,Top Dressing,8,136,Wilt,Apply neem extract,27.1
Rice,Clay,5.9 - 8.2,Sep,26.0,NPK,Both,4,149,Anthracnose,Use crop rotation,32.98
Sesame,Alluvial,5.9 - 7.9,Sep,12.5,NPK,Top Dressing,6,100,Root Rot,Remove infected parts,15.24
Banana,Black soil,5.7 - 8.4,Jun,13.6,Vermicompost,Top Dressing,5,151,Wilt,Spray insecticide,10.07
Maize,Alluvial,6.1 - 8.0,Jun,17.3,Compost,Basal,6,114,Anthracnose,No treatment needed,10.71
Potato,Alluvial,5.9 - 8.2,Sep,27.6,DAP,Both,5,165,Root Rot,Apply neem extract,14.05
Sugarcane,Black soil,7.1 - 8.0,Sep,5.8,Compost,Top Dressing,6,162,No major disease,Remove infected parts,25.83
Mango,Sandy loam,7.0 - 7.7,Mar,17.8,Vermicompost,Basal,4,81,Rust,Use fungicide,17.75
Cotton,Loamy,5.8 - 8.3,May,17.4,Vermicompost,Top Dressing,3,135,Blight,Remove infected parts,19.24
Ginger,Sandy loam,6.2 - 7.9,Nov,17.1,Compost,Top Dressing,5,148,Root Rot,Apply neem extract,22.35
Ginger,Black soil,5.8 - 8.2,Sep,7.1,NPK,Top Dressing,3,125,No major disease,Use crop rotation,33.78
Tea,Loamy,6.5 - 8.1,Apr,17.1,Urea,Basal,5,104,Root Rot,Use fungicide,16.38
Lemon,Black soil,7.4 - 8.4,Feb,27.9,DAP,Top Dressing,4,92,Anthracnose,Apply neem extract,16.08
Sweet Corn,Loamy,5.7 - 8.1,Dec,9.0,DAP,Basal,2,170,Rust,Spray insecticide,18.22
Onion,Alluvial,6.4 - 8.2,Dec,26.9,NPK,Basal,4,61,Wilt,Remove infected parts,7.36
Orange,Loamy,6.0 - 8.3,Jan,22.6,DAP,Both,2,149,Anthracnose,Use crop rotation,31.16
Pearl Millet,Sandy loam,6.5 - 8.3,Oct,26.1,NPK,Top Dressing,7,64,Root Rot,Apply neem extract,16.12
Black Gram,Sandy loam,7.2 - 8.0,Mar,23.2,DAP,Both,8,102,Anthracnose,Apply neem extract,24.93
Cauliflower,Clay,6.8 - 7.8,Oct,26.5,NPK,Both,6,135,Powdery Mildew,Use fungicide,23.09
Mango,Alluvial,6.0 - 8.3,Aug,12.5,NPK,Top Dressing,8,169,Powdery Mildew,Use fungicide,18.73
Coriander,Loamy,7.0 - 8.3,Jan,28.0,Vermicompost,Both,5,157,Powdery Mildew,Use crop rotation,24.27
Orange,Clay,6.8 - 8.5,Sep,21.6,DAP,Basal,3,87,Anthracnose,No treatment needed,8.96
Coriander,Sandy loam,6.5 - 8.0,Dec,15.7,Vermicompost,Both,7,70,Anthracnose,No treatment needed,9.19
Mango,Clay,6.2 - 8.4,Mar,26.2,DAP,Top Dressing,7,154,Leaf Spot,Remove infected parts,8.62
Tomato,Alluvial,6.4 - 8.2,Oct,24.5,Compost,Both,3,147,Rust,Use fungicide,16.63
Pumpkin,Sandy loam,6.5 - 7.9,Feb,20.2,Urea,Both,5,72,Leaf Spot,Remove infected parts,19.88
Cabbage,Loamy,7.1 - 7.8,Dec,16.3,Urea,Basal,7,153,Downy Mildew,Remove infected parts,11.63
Onion,Black soil,6.1 - 8.0,Jan,9.5,Vermicompost,Both,2,150,Rust,Spray insecticide,29.09
Chili,Black soil,6.8 - 8.4,Mar,21.2,DAP,Top Dressing,6,128,Wilt,Use crop rotation,13.29
Brinjal,Alluvial,6.9 - 8.0,Feb,17.2,Vermicompost,Both,5,62,Stem Borer,Remove infected parts,13.64
Radish,Black soil,5.7 - 8.1,May,17.2,Vermicompost,Top Dressing,3,126,Wilt,No treatment needed,34.24
Mustard,Loamy,5.6 - 7.9,Aug,21.9,Compost,Both,3,65,Powdery Mildew,Spray insecticide,29.22
Rice,Alluvial,6.0 - 8.4,May,23.0,Compost,Both,5,137,Leaf Spot,Use fungicide,8.06
Pumpkin,Loamy,6.9 - 7.9,Jan,29.5,NPK,Basal,5,89,Powdery Mildew,Use crop rotation,19.76
Cabbage,Alluvial,7.5 - 8.0,Feb,22.8,Urea,Both,6,154,Powdery Mildew,Apply neem extract,7.89
Grapes,Alluvial,6.6 - 7.9,Dec,29.5,Compost,Basal,3,174,Root Rot,Use crop rotation,11.49
Onion,Loamy,6.9 - 7.7,Aug,23.5,DAP,Top Dressing,3,127,Rust,Spray insecticide,7.76
Beetroot,Sandy loam,5.9 - 8.0,Sep,9.8,Compost,Basal,6,136,No major disease,Spray insecticide,7.15
Cabbage,Clay,6.0 - 7.9,Dec,16.8,DAP,Both,6,156,Blight,Remove infected parts,19.13
Bottle Gourd,Sandy loam,6.9 - 7.7,Oct,10.9,Compost,Top Dressing,4,69,Stem Borer,Remove infected parts,26.79
Apple,Loamy,7.2 - 8.1,Mar,23.0,Compost,Both,6,115,Stem Borer,No treatment needed,9.2
Sunflower,Alluvial,7.3 - 8.3,Nov,7.0,DAP,Top Dressing,7,135,Downy Mildew,Use crop rotation,21.45
Black Gram,Clay,6.8 - 7.6,Sep,27.9,Vermicompost,Both,7,150,Leaf Spot,Remove infected parts,26.63
Okra,Loamy,7.2 - 8.2,Mar,7.0,Urea,Top Dressing,3,107,Stem Borer,Remove infected parts,28.45
Papaya,Alluvial,6.4 - 8.2,Jun,7.7,Vermicompost,Top Dressing,6,129,Wilt,Apply neem extract,28.94
Green Gram,Alluvial,7.5 - 8.1,Oct,13.8,Compost,Both,5,162,No major disease,Remove infected parts,5.43
Brinjal,Alluvial,7.4 - 8.4,Sep,8.6,Urea,Top Dressing,5,160,Downy Mildew,Use fungicide,14.63
Maize,Loamy,5.7 - 7.8,Apr,19.9,Vermicompost,Basal,4,127,Blight,Remove infected parts,19.66
Pigeon Pea,Sandy loam,7.2 - 8.0,Jun,29.8,DAP,Both,4,80,Anthracnose,Use crop rotation,24.68
Sorghum,Loamy,6.2 - 7.7,May,29.4,Compost,Basal,7,122,Downy Mildew,No treatment needed,8.65
Sunflower,Black soil,6.0 - 7.8,Jan,4.0,Vermicompost,Basal,5,68,Anthracnose,Use crop rotation,18.66
Carrot,Clay,7.3 - 8.4,Jun,9.2,Vermicompost,Top Dressing,7,157,Rust,No treatment needed,7.74
Black Gram,Loamy,7.5 - 8.2,Nov,23.8,NPK,Basal,5,75,Leaf Spot,Apply neem extract,19.17
Maize,Clay,7.4 - 7.7,Jul,17.1,NPK,Both,6,78,Leaf Spot,No treatment needed,5.71
Bottle Gourd,Sandy loam,7.4 - 7.6,Sep,6.4,NPK,Basal,2,80,No major disease,Spray insecticide,20.96
Wheat,Alluvial,6.0 - 8.1,Oct,16.5,DAP,Both,2,152,Stem Borer,Use crop rotation,15.85
Potato,Sandy loam,5.9 - 7.8,Dec,20.8,NPK,Top Dressing,6,107,No major disease,Use fungicide,8.59
Chickpea,Alluvial,7.3 - 7.7,Aug,15.5,Vermicompost,Both,2,165,Powdery Mildew,No treatment needed,28.8
Radish,Clay,6.6 - 8.3,Sep,17.5,Urea,Top Dressing,7,115,Stem Borer,Use crop rotation,32.04
Radish,Black soil,6.5 - 7.7,Mar,20.4,Urea,Basal,7,105,No major disease,No treatment needed,10.94
Garlic,Black soil,5.6 - 7.9,Mar,14.9,DAP,Both,5,105,Rust,Remove infected parts,24.11
Cabbage,Loamy,6.9 - 8.2,Sep,14.7,Compost,Basal,5,91,Root Rot,Spray insecticide,22.38
Mustard,Alluvial,7.1 - 8.0,Feb,20.9,NPK,Both,5,101,Root Rot,Use fungicide,16.06
Radish,Alluvial,6.8 - 7.8,Oct,19.3,Compost,Both,3,106,Powdery Mildew,Spray insecticide,14.31
Orange,Alluvial,7.0 - 7.8,Nov,28.5,DAP,Top Dressing,4,94,Anthracnose,Use crop rotation,22.22
Pigeon Pea,Alluvial,5.9 - 7.7,Sep,15.4,NPK,Top Dressing,8,125,Blight,Use fungicide,15.65
Wheat,Clay,7.5 - 8.5,Oct,26.9,Vermicompost,Top Dressing,5,179,Stem Borer,Use crop rotation,23.8
Groundnut,Loamy,6.1 - 7.7,Jan,6.9,NPK,Basal,3,80,Root Rot,Apply neem extract,27.9
Carrot,Alluvial,6.0 - 8.0,Feb,24.9,Vermicompost,Top Dressing,7,167,Powdery Mildew,Use fungicide,30.42
Spinach,Clay,6.6 - 7.7,Jan,4.0,Compost,Basal,2,137,Wilt,Use crop rotation,21.46
Orange,Alluvial,6.7 - 8.4,Apr,12.6,NPK,Basal,7,90,Downy Mildew,Apply neem extract,9.22
Sorghum,Loamy,5.8 - 8.0,Aug,25.2,NPK,Top Dressing,8,85,Blight,Use fungicide,30.81
Ginger,Sandy loam,6.9 - 7.7,Apr,24.8,Urea,Top Dressing,5,113,Powdery Mildew,Remove infected parts,16.51
Pearl Millet,Black soil,6.4 - 7.6,Jan,22.1,Vermicompost,Top Dressing,2,66,Rust,Spray insecticide,10.54
Barley,Alluvial,7.2 - 8.5,Jun,28.6,DAP,Both,5,169,Wilt,Use crop rotation,6.91
Papaya,Clay,6.6 - 8.3,May,9.1,NPK,Basal,2,128,Anthracnose,Use crop rotation,20.86
Finger Millet,Black soil,5.8 - 8.4,Oct,25.2,DAP,Basal,5,96,Anthracnose,Spray insecticide,8.24
Barley,Black soil,5.6 - 7.7,Jul,22.8,NPK,Both,7,124,Leaf Spot,Use fungicide,27.9
Green Gram,Black soil,7.0 - 8.1,Feb,17.4,NPK,Top Dressing,8,62,Leaf Spot,Apply neem extract,11.29
Green Gram,Sandy loam,7.4 - 8.3,Dec,19.1,Vermicompost,Both,7,97,Stem Borer,Remove infected parts,21.93
Tomato,Sandy loam,6.0 - 7.8,May,18.7,DAP,Top Dressing,7,176,No major disease,Remove infected parts,20.51
Finger Millet,Black soil,6.1 - 8.3,May,27.7,DAP,Both,2,74,Powdery Mildew,Spray insecticide,11.21
Chickpea,Clay,7.3 - 8.2,Nov,8.8,Vermicompost,Top Dressing,5,100,Anthracnose,No treatment needed,34.66
Cauliflower,Loamy,5.5 - 7.8,Apr,22.2,DAP,Top Dressing,3,70,Anthracnose,Apply neem extract,27.44
Brinjal,Sandy loam,6.8 - 7.9,Jan,21.9,Urea,Top Dressing,2,169,No major disease,Apply neem extract,5.81
Finger Millet,Clay,7.2 - 8.2,May,17.2,Vermicompost,Top Dressing,5,117,Rust,Spray insecticide,21.87
Okra,Clay,6.0 - 8.1,Aug,23.0,DAP,Both,3,121,Blight,No treatment needed,12.14
Sugarcane,Sandy loam,6.7 - 8.0,Oct,8.7,DAP,Top Dressing,3,163,Leaf Spot,Use crop rotation,32.38
Chickpea,Loamy,6.2 - 8.2,Dec,17.6,DAP,Basal,6,60,Leaf Spot,Spray insecticide,13.58
